Município;UF;Pop. urb.;Reg.;Cod. nacional;ALGAR CELULAR S/A: Atende;ALGAR CELULAR S/A: Nº ERBs;CLARO S.A.: Atende;CLARO S.A.: Nº ERBs;NEXTEL TELECOMUNICACOES LTDA: Atende;NEXTEL TELECOMUNICACOES LTDA: Nº ERBs;OI MÓVEL S.A.: Atende;OI MÓVEL S.A.: Nº ERBs;SERCOMTEL CELULAR S.A.: Atende;SERCOMTEL CELULAR S.A.: Nº ERBs;TELEFÔNICA BRASIL S.A.: Atende;TELEFÔNICA BRASIL S.A.: Nº ERBs;TIM CELULAR S.A.: Atende;TIM CELULAR S.A.: Nº ERBs;TNL PCS S.A.: Atende;TNL PCS S.A.:Nº ERBs
 Vila Flores;RS;3341;II;54;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Vila Lângaro;RS;2202;II;54;Não;0;Sim;1;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Vila Maria;RS;4377;II;54;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Vila Nova do Sul;RS;4359;II;55;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Vista Alegre;RS;2899;II;55;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Vista Alegre do Prata;RS;1614;II;54;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Vista Gaúcha;RS;2862;II;55;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Vitória das Missões;RS;3510;II;55;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0
 Westfalia;RS;2925;II;51;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Xangri-lá;RS;13689;II;51;Não;0;Sim;3;Não;0;Sim;5;Não;0;Sim;9;Sim;5;Não;0
 Abdon Batista;SC;2656;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Abelardo Luz;SC;17584;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Agrolândia;SC;9957;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Agronômica;SC;5172;II;47;Não;0;Sim;0;Sim;1;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Água Doce;SC;7110;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Não;0;Não;0
 Águas de Chapecó;SC;6313;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;0;Não;0
 Águas Frias;SC;2430;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Águas Mornas;SC;5926;II;48;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;2;Sim;2;Não;0
 Alfredo Wagner;SC;9737;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;2;Sim;1;Não;0
 Alto Bela Vista;SC;2007;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Anchieta;SC;6145;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Angelina;SC;5166;II;48;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Anita Garibaldi;SC;8230;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Anitápolis;SC;3259;II;48;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Antônio Carlos;SC;7906;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Apiúna;SC;10099;II;47;Não;0;Sim;3;Não;0;Sim;1;Não;0;Sim;2;Sim;2;Não;0
 Arabutã;SC;4270;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Araquari;SC;29593;II;47;Não;0;Sim;3;Não;0;Sim;5;Não;0;Sim;6;Sim;4;Não;0
 Araranguá;SC;64405;II;48;Não;0;Sim;5;Não;0;Sim;2;Não;0;Sim;6;Sim;7;Não;0
 Armazém;SC;8159;II;48;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Arroio Trinta;SC;3562;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Arvoredo;SC;2281;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Ascurra;SC;7683;II;47;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;0;Não;0
 Atalanta;SC;3310;II;47;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Aurora;SC;5661;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Balneário Arroio do Silva;SC;10876;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Balneário Barra do Sul;SC;9330;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Balneário Camboriú;SC;120926;II;47;Não;0;Sim;13;Não;0;Sim;16;Não;0;Sim;17;Sim;24;Não;0
 Balneário Gaivota;SC;9259;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;2;Sim;1;Não;0
 Balneário Piçarras;SC;19329;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;2;Sim;1;Não;0
 Balneário Rincão;SC;11628;;48;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Bandeirante;SC;2865;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Barra Bonita;SC;1842;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Barra Velha;SC;24943;II;47;Não;0;Sim;4;Não;0;Sim;2;Não;0;Sim;3;Sim;4;Não;0
 Bela Vista do Toldo;SC;6191;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Belmonte;SC;2692;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Benedito Novo;SC;10906;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Biguaçu;SC;62383;II;48;Não;0;Sim;2;Não;0;Sim;4;Não;0;Sim;4;Sim;3;Não;0
 Blumenau;SC;329082;II;47;Não;0;Sim;33;Sim;16;Sim;37;Não;0;Sim;29;Sim;36;Não;0
 Bocaina do Sul;SC;3393;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;2;Não;0;Não;0
 Bom Jardim da Serra;SC;4566;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Bom Jesus;SC;2721;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Bom Jesus do Oeste;SC;2160;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Bom Retiro;SC;9397;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;3;Sim;2;Não;0
 Bombinhas;SC;16311;II;47;Não;0;Sim;3;Não;0;Sim;1;Não;0;Sim;3;Sim;3;Não;0
 Botuverá;SC;4785;II;47;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Braço do Norte;SC;30868;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;4;Não;0
 Braço do Trombudo;SC;3599;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Brunópolis;SC;2741;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Brusque;SC;116634;II;47;Não;0;Sim;7;Não;0;Sim;7;Não;0;Sim;8;Sim;9;Não;0
 Caçador;SC;74276;II;49;Não;0;Sim;3;Não;0;Sim;3;Não;0;Sim;2;Sim;4;Não;0
 Caibi;SC;6274;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Calmon;SC;3416;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0
 Camboriú;SC;70068;II;47;Não;0;Sim;2;Não;0;Sim;5;Não;0;Sim;2;Sim;3;Não;0
 Campo Alegre;SC;11972;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Campo Belo do Sul;SC;7419;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Campo Erê;SC;9203;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Campos Novos;SC;34386;II;49;Não;0;Sim;4;Não;0;Sim;1;Não;0;Sim;3;Sim;1;Não;0
 Canelinha;SC;11286;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Canoinhas;SC;53969;II;47;Não;0;Sim;2;Não;0;Sim;2;Não;0;Sim;1;Sim;2;Não;0
 Capão Alto;SC;2711;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Capinzal;SC;21726;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;3;Não;0
 Capivari de Baixo;SC;23018;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Catanduvas;SC;10112;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Caxambu do Sul;SC;4208;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Celso Ramos;SC;2792;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Cerro Negro;SC;3472;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Chapadão do Lageado;SC;2871;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Chapecó;SC;198188;II;49;Não;0;Sim;12;Não;0;Sim;13;Não;0;Sim;9;Sim;14;Não;0
 Cocal do Sul;SC;15860;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Concórdia;SC;71499;II;49;Não;0;Sim;5;Não;0;Sim;4;Não;0;Sim;5;Sim;5;Não;0
 Cordilheira Alta;SC;4043;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Coronel Freitas;SC;10272;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;3;Não;0
 Coronel Martins;SC;2520;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Correia Pinto;SC;14301;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;3;Sim;2;Não;0
 Corupá;SC;14716;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Criciúma;SC;202395;II;48;Não;0;Sim;12;Não;0;Sim;11;Não;0;Sim;11;Sim;21;Não;0
 Cunha Porã;SC;10905;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Cunhataí;SC;1931;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Curitibanos;SC;38890;II;49;Não;0;Sim;3;Não;0;Sim;2;Não;0;Sim;3;Sim;2;Não;0
 Descanso;SC;8612;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Dionísio Cerqueira;SC;15227;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Dona Emma;SC;3912;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Doutor Pedrinho;SC;3828;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Entre Rios;SC;3118;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Ermo;SC;2081;II;48;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Erval Velho;SC;4448;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Faxinal dos Guedes;SC;10797;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Flor do Sertão;SC;1605;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Florianópolis;SC;453285;II;48;Não;0;Sim;67;Sim;33;Sim;117;Não;0;Sim;73;Sim;86;Não;0
 Formosa do Sul;SC;2603;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Forquilhinha;SC;24256;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Fraiburgo;SC;35618;II;49;Não;0;Sim;2;Não;0;Sim;2;Não;0;Sim;2;Sim;2;Não;0
 Frei Rogério;SC;2354;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Galvão;SC;3379;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Garopaba;SC;20024;II;48;Não;0;Sim;3;Não;0;Sim;2;Não;0;Sim;3;Sim;3;Não;0
 Garuva;SC;16081;II;47;Não;0;Sim;2;Não;0;Sim;2;Não;0;Sim;2;Sim;2;Não;0
 Gaspar;SC;62618;II;47;Não;0;Sim;4;Não;0;Sim;5;Não;0;Sim;7;Sim;6;Não;0
 Governador Celso Ramos;SC;13655;II;48;Não;0;Sim;2;Não;0;Sim;2;Não;0;Sim;3;Sim;2;Não;0
 Grão Pará;SC;6418;II;48;Não;0;Sim;1;Sim;1;Sim;1;Não;0;Não;0;Não;0;Não;0
 Gravatal;SC;11064;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Guabiruba;SC;20474;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Guaraciaba;SC;10492;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Não;0
 Guaramirim;SC;38851;II;47;Não;0;Sim;2;Não;0;Sim;2;Não;0;Sim;2;Sim;3;Não;0
 Guarujá do Sul;SC;5054;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0
 Guatambú;SC;4746;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Herval d'Oeste;SC;21961;II;49;Não;0;Sim;1;Não;0;Sim;3;Não;0;Sim;1;Sim;2;Não;0
 Ibiam;SC;1973;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Ibicaré;SC;3359;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Ibirama;SC;18097;II;47;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;2;Sim;3;Não;0
 Içara;SC;51416;II;48;Não;0;Sim;3;Não;0;Sim;2;Não;0;Sim;2;Sim;8;Não;0
 Ilhota;SC;13124;II;47;Não;0;Sim;1;Não;0;Sim;2;Não;0;Sim;2;Sim;2;Não;0
 Imaruí;SC;11301;II;48;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Imbituba;SC;42244;II;48;Não;0;Sim;4;Não;0;Sim;3;Não;0;Sim;4;Sim;4;Não;0
 Imbuia;SC;5946;II;47;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0
 Indaial;SC;60433;II;47;Não;0;Sim;4;Não;0;Sim;2;Não;0;Sim;3;Sim;4;Não;0
 Iomerê;SC;2842;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Ipira;SC;4713;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Iporã do Oeste;SC;8714;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Ipuaçu;SC;7123;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Ipumirim;SC;7435;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0
 Iraceminha;SC;4212;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Irani;SC;9948;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Irati;SC;2067;II;49;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0;Não;0;Não;0
 Irineópolis;SC;10843;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Itá;SC;6420;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;2;Não;0
 Itaiópolis;SC;21015;II;47;Não;0;Sim;1;Não;0;Sim;2;Não;0;Sim;1;Sim;1;Não;0
 Itajaí;SC;197809;II;47;Não;0;Sim;14;Não;0;Sim;11;Não;0;Sim;11;Sim;17;Não;0
 Itapema;SC;52923;II;47;Não;0;Sim;5;Não;0;Sim;4;Não;0;Sim;7;Sim;5;Não;0
 Itapiranga;SC;16107;II;49;Não;0;Sim;1;Não;0;Sim;2;Não;0;Sim;2;Sim;1;Não;0
 Itapoá;SC;16899;II;47;Não;0;Sim;3;Não;0;Sim;2;Não;0;Sim;3;Sim;4;Não;0
 Ituporanga;SC;23490;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Jaborá;SC;4057;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Jacinto Machado;SC;10677;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Jaguaruna;SC;18425;II;48;Não;0;Sim;3;Não;0;Sim;1;Não;0;Sim;3;Sim;4;Não;0
 Jaraguá do Sul;SC;156519;II;47;Não;0;Sim;9;Não;0;Sim;8;Não;0;Sim;9;Sim;10;Não;0
 Jardinópolis;SC;1721;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Joaçaba;SC;28398;II;49;Não;0;Sim;3;Não;0;Sim;2;Não;0;Sim;1;Sim;4;Não;0
 Joinville;SC;546981;II;47;Não;0;Sim;42;Sim;16;Sim;55;Não;0;Sim;32;Sim;44;Não;0
 José Boiteux;SC;4837;II;47;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Jupiá;SC;2158;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Lacerdópolis;SC;2242;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Lages;SC;158961;II;49;Não;0;Sim;9;Não;0;Sim;8;Não;0;Sim;9;Sim;12;Não;0
 Laguna;SC;43979;II;48;Não;0;Sim;5;Não;0;Sim;4;Não;0;Sim;3;Sim;6;Não;0
 Lajeado Grande;SC;1488;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Laurentino;SC;6402;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Não;0;Sim;2;Não;0
 Lauro Muller;SC;14841;II;48;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Lebon Régis;SC;12077;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Leoberto Leal;SC;3298;II;48;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Lindóia do Sul;SC;4674;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Lontras;SC;11005;II;47;Não;0;Sim;4;Não;0;Não;0;Não;0;Sim;3;Sim;2;Não;0
 Luiz Alves;SC;11395;II;47;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Luzerna;SC;5698;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Macieira;SC;1831;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Mafra;SC;54708;II;47;Não;0;Sim;2;Não;0;Sim;3;Não;0;Sim;2;Sim;2;Não;0
 Major Gercino;SC;3375;II;48;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Major Vieira;SC;7782;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Maracajá;SC;6784;II;48;Não;0;Sim;2;Não;0;Sim;1;Não;0;Não;0;Sim;2;Não;0
 Maravilha;SC;23602;II;49;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;1;Sim;3;Não;0
 Marema;SC;2094;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Massaranduba;SC;15586;II;47;Não;0;Sim;1;Não;0;Sim;2;Não;0;Sim;2;Sim;2;Não;0
 Matos Costa;SC;2767;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Meleiro;SC;7085;II;48;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Mirim Doce;SC;2476;II;47;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Modelo;SC;4147;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Mondaí;SC;10877;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Monte Carlo;SC;9604;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Monte Castelo;SC;8478;II;47;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Morro da Fumaça;SC;16888;II;48;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Morro Grande;SC;2928;II;48;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Navegantes;SC;68337;II;47;Não;0;Sim;3;Não;0;Sim;3;Não;0;Sim;4;Sim;3;Não;0
 Nova Erechim;SC;4577;II;49;Não;0;Sim;2;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Nova Itaberaba;SC;4338;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Nova Trento;SC;13135;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Nova Veneza;SC;14098;II;48;Não;0;Sim;3;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Novo Horizonte;SC;2681;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Orleans;SC;22171;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Otacílio Costa;SC;17349;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Ouro;SC;7436;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Ouro Verde;SC;2281;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Paial;SC;1698;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Painel;SC;2385;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Palhoça;SC;150623;II;48;Não;0;Sim;12;Não;0;Sim;13;Não;0;Sim;12;Sim;12;Não;0
 Palma Sola;SC;7747;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Palmeira;SC;2488;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Palmitos;SC;16270;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Papanduva;SC;18568;II;47;Não;0;Sim;1;Não;0;Sim;2;Não;0;Sim;2;Sim;1;Não;0
 Paraíso;SC;3915;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Passo de Torres;SC;7447;II;48;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;0;Sim;1;Não;0
 Passos Maia;SC;4387;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Paulo Lopes;SC;7045;II;48;Não;0;Sim;2;Não;0;Sim;2;Não;0;Sim;1;Sim;1;Não;0
 Pedras Grandes;SC;4110;II;48;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Penha;SC;27936;II;47;Não;0;Sim;2;Não;0;Sim;2;Não;0;Sim;4;Sim;1;Não;0
 Peritiba;SC;2958;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Pescaria Brava;SC;9687;;48;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Petrolândia;SC;6140;II;47;Não;0;Não;0;Sim;1;Sim;1;Não;0;Sim;1;Não;0;Não;0
 Pinhalzinho;SC;17868;II;49;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Pinheiro Preto;SC;3310;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Piratuba;SC;4533;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;3;Não;0
 Planalto Alegre;SC;2761;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Pomerode;SC;30009;II;47;Não;0;Sim;2;Não;0;Sim;1;Não;0;Sim;3;Sim;3;Não;0
 Ponte Alta;SC;4885;II;49;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Não;0
 Ponte Alta do Norte;SC;3381;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Ponte Serrada;SC;11358;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Porto Belo;SC;18066;II;47;Não;0;Sim;3;Não;0;Sim;3;Não;0;Sim;2;Sim;3;Não;0
 Porto União;SC;34551;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;3;Sim;1;Não;0
 Pouso Redondo;SC;15882;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Praia Grande;SC;7377;II;48;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;1;Não;0
 Presidente Castello Branco;SC;1691;II;49;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0
 Presidente Getúlio;SC;15943;II;47;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
 Presidente Nereu;SC;2314;II;47;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Princesa;SC;2848;II;49;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0
 Quilombo;SC;10255;II;49;Não;0;Sim;1;Não;0;Sim;1;Não;0;Sim;1;Sim;2;Não;0
